Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
"American Cover Design 26, Inc.",43371,843160-1,#117080-4,120,5,0,843160,112,-3,PO MISMATCH,7566217-20181002180039
Greenbox Art,43354,831782-1,169765,69.5,0,0,831782,62.55,-6.95,PO MISMATCH,7575381-20181005180053
Greenbox Art,43354,832223-2,169768,74.5,0,0,832223,67.05,-7.45,PO MISMATCH,7575384-20181005180053
Greenbox Art,43354,833240-1,169767,74.5,0,0,833240,67.05,-7.45,PO MISMATCH,7575383-20181005180053
Greenbox Art,43362,836879-5,170953,233.5,0,0,836879,213.1,-20.4,PO MISMATCH,7575386-20181005180053
HiEnd Accents,43376,845592-1,254120,45,5,0,845592,35,-5,PO MISMATCH,7582143-20181005180053
Mohawk Factoring LLC,43356,836003-1,9091650,322.15,0,0,836003,311.1,-11.05,PO MISMATCH,7566274-20181002180039
Mohawk Factoring LLC,43361,838634-1,9106743,89.25,0,0,838634,84.15,-5.1,PO MISMATCH,7566275-20181002180039
Mohawk Factoring LLC,43364,840101-1,9121319,66.3,0,0,840101,216.75,-9.35,PO MISMATCH,7575388-20181005180053
Mohawk Factoring LLC,43364,840101-1,9121320,159.8,0,0,840101,216.75,-9.35,PO MISMATCH,7575389-20181005180053
Mohawk Factoring LLC,43369,841254-2,9141713,149.6,0,0,841254,147.9,-1.7,PO MISMATCH,7581457-20181005180053
Mohawk Factoring LLC,43370,842618-1,9146407,74.8,0,0,842618,73.95,-0.85,PO MISMATCH,7578560-20181005180053
Silverado Home,43374,825987-1,15916,148.73,10,6.25,825987,119.6,-12.88,PO MISMATCH,7578254-20181005180053
UTAH MOUNTAIN FURNITURE,43251,775691-2,2617,864.63,0,315.63,775691,839,-235,PO MISMATCH,UTAH MTN 060418 2617N
UTAH MOUNTAIN FURNITURE,43374,775691-4,2701,525,0,0,775691,839,-235,PO MISMATCH,7578266-20181005180053
Webers Leather,43374,843886-1,100064,31.66,5,2.91,843886,16.11,-7.64,PO MISMATCH,7571005-20181002180039
